ds,p,perc_total_perf,q,cluster_imbalance_ratio,data_ratio,noise_ratio,acc,bacc,kappa,log_loss,clf
ibn-sina,0.0022,0.25,1.0,5,0.8862,0.0,0.6215,0.0,0.0,0.6635,trusted_only
ibn-sina,0.0022,0.25,1.0,5,0.8862,0.0,0.9775,0.9486,0.952,0.0803,no_correction
ibn-sina,0.0022,0.25,1.0,5,0.8862,0.0,0.978,0.9494,0.953,0.08,untrusted_only
ibn-sina,0.0022,0.25,1.0,5,0.8862,0.0,0.9768,0.9469,0.9506,0.0822,kpdr
ibn-sina,0.0022,0.25,1.0,5,0.8862,0.0,0.9725,0.9381,0.9413,0.1004,pdr
ibn-sina,0.0022,0.25,1.0,10,0.872,0.0,0.9764,0.9465,0.9496,0.0865,irbl
ibn-sina,0.0022,0.25,1.0,10,0.872,0.0,0.9759,0.9449,0.9485,0.0879,irbl2
ibn-sina,0.0022,0.25,1.0,10,0.872,0.0,0.6215,0.0,0.0,0.6635,trusted_only
ibn-sina,0.0022,0.25,1.0,10,0.872,0.0,0.9765,0.9461,0.9499,0.0856,no_correction
ibn-sina,0.0022,0.25,1.0,10,0.872,0.0,0.977,0.9472,0.9509,0.0872,untrusted_only
ibn-sina,0.0022,0.25,1.0,10,0.872,0.0,0.9759,0.9436,0.9485,0.0868,kpdr
ibn-sina,0.0022,0.25,1.0,10,0.872,0.0,0.971,0.934,0.9382,0.1047,pdr
ibn-sina,0.0022,0.25,1.0,20,0.8649,0.0,0.9747,0.9418,0.9461,0.0926,irbl
ibn-sina,0.0022,0.25,1.0,20,0.8649,0.0,0.9733,0.9388,0.943,0.0943,irbl2
ibn-sina,0.0022,0.25,1.0,20,0.8649,0.0,0.6215,0.0,0.0,0.6635,trusted_only
ibn-sina,0.0022,0.25,1.0,20,0.8649,0.0,0.9754,0.9428,0.9474,0.093,no_correction
ibn-sina,0.0022,0.25,1.0,20,0.8649,0.0,0.9757,0.9436,0.9481,0.0916,untrusted_only
ibn-sina,0.0022,0.25,1.0,20,0.8649,0.0,0.9768,0.9456,0.9505,0.0918,kpdr
ibn-sina,0.0022,0.25,1.0,20,0.8649,0.0,0.9702,0.9304,0.9363,0.1103,pdr
ibn-sina,0.0022,0.25,1.0,50,0.8606,0.0,0.9696,0.93,0.935,0.1039,irbl
ibn-sina,0.0022,0.25,1.0,50,0.8606,0.0,0.9691,0.9275,0.9339,0.1082,irbl2
ibn-sina,0.0022,0.25,1.0,50,0.8606,0.0,0.6215,0.0,0.0,0.6635,trusted_only
ibn-sina,0.0022,0.25,1.0,50,0.8606,0.0,0.9702,0.9299,0.9363,0.1032,no_correction
ibn-sina,0.0022,0.25,1.0,50,0.8606,0.0,0.9709,0.9311,0.9377,0.1024,untrusted_only
ibn-sina,0.0022,0.25,1.0,50,0.8606,0.0,0.9731,0.9363,0.9425,0.102,kpdr
ibn-sina,0.0022,0.25,1.0,50,0.8606,0.0,0.9654,0.9223,0.9262,0.1329,pdr
ibn-sina,0.0022,0.25,1.0,100,0.8593,0.0,0.9677,0.9236,0.9307,0.1066,irbl
ibn-sina,0.0022,0.25,1.0,100,0.8593,0.0,0.9672,0.9221,0.9297,0.112,irbl2
ibn-sina,0.0022,0.25,1.0,100,0.8593,0.0,0.6215,0.0,0.0,0.6635,trusted_only
ibn-sina,0.0022,0.25,1.0,100,0.8593,0.0,0.9704,0.9296,0.9366,0.1035,no_correction
ibn-sina,0.0022,0.25,1.0,100,0.8593,0.0,0.9698,0.9282,0.9352,0.1062,untrusted_only
ibn-sina,0.0022,0.25,1.0,100,0.8593,0.0,0.9712,0.9312,0.9383,0.1073,kpdr
ibn-sina,0.0022,0.25,1.0,100,0.8593,0.0,0.963,0.9137,0.9208,0.1431,pdr
ibn-sina,0.0033,0.5,1.0,1,1.0,0.0,0.9786,0.9525,0.9544,0.078,irbl
ibn-sina,0.0033,0.5,1.0,1,1.0,0.0,0.9767,0.9482,0.9503,0.0825,irbl2
ibn-sina,0.0033,0.5,1.0,1,1.0,0.0,0.8438,0.6746,0.6702,0.4467,trusted_only
ibn-sina,0.0033,0.5,1.0,1,1.0,0.0,0.9805,0.9567,0.9586,0.0727,no_correction
ibn-sina,0.0033,0.5,1.0,1,1.0,0.0,0.9809,0.9571,0.9592,0.0722,untrusted_only
ibn-sina,0.0033,0.5,1.0,1,1.0,0.0,0.9796,0.9532,0.9564,0.0718,kpdr
ibn-sina,0.0033,0.5,1.0,1,1.0,0.0,0.9752,0.9472,0.9473,0.0877,pdr
ibn-sina,0.0033,0.5,1.0,2,0.929,0.0,0.9784,0.9505,0.954,0.0803,irbl
ibn-sina,0.0033,0.5,1.0,2,0.929,0.0,0.9765,0.9464,0.9499,0.0815,irbl2
ibn-sina,0.0033,0.5,1.0,2,0.929,0.0,0.8438,0.6746,0.6702,0.4467,trusted_only
ibn-sina,0.0033,0.5,1.0,2,0.929,0.0,0.9786,0.9513,0.9544,0.0754,no_correction
ibn-sina,0.0033,0.5,1.0,2,0.929,0.0,0.9789,0.9516,0.9551,0.0755,untrusted_only
ibn-sina,0.0033,0.5,1.0,2,0.929,0.0,0.9783,0.9493,0.9536,0.0755,kpdr
ibn-sina,0.0033,0.5,1.0,2,0.929,0.0,0.9723,0.9389,0.9411,0.0972,pdr
ibn-sina,0.0033,0.5,1.0,5,0.8862,0.0,0.976,0.9466,0.9489,0.0818,irbl
ibn-sina,0.0033,0.5,1.0,5,0.8862,0.0,0.9754,0.9456,0.9476,0.0822,irbl2
ibn-sina,0.0033,0.5,1.0,5,0.8862,0.0,0.8438,0.6746,0.6702,0.4467,trusted_only
ibn-sina,0.0033,0.5,1.0,5,0.8862,0.0,0.9772,0.948,0.9513,0.0787,no_correction
ibn-sina,0.0033,0.5,1.0,5,0.8862,0.0,0.9772,0.948,0.9513,0.0801,untrusted_only
ibn-sina,0.0033,0.5,1.0,5,0.8862,0.0,0.9775,0.9473,0.9519,0.0792,kpdr
ibn-sina,0.0033,0.5,1.0,5,0.8862,0.0,0.9691,0.9332,0.9343,0.1051,pdr
ibn-sina,0.0033,0.5,1.0,10,0.872,0.0,0.9744,0.9414,0.9454,0.0868,irbl
ibn-sina,0.0033,0.5,1.0,10,0.872,0.0,0.9731,0.9393,0.9427,0.0876,irbl2
ibn-sina,0.0033,0.5,1.0,10,0.872,0.0,0.8438,0.6746,0.6702,0.4467,trusted_only
ibn-sina,0.0033,0.5,1.0,10,0.872,0.0,0.9756,0.9434,0.9478,0.086,no_correction
ibn-sina,0.0033,0.5,1.0,10,0.872,0.0,0.9754,0.9431,0.9475,0.0869,untrusted_only
ibn-sina,0.0033,0.5,1.0,10,0.872,0.0,0.9762,0.9442,0.9491,0.0839,kpdr
ibn-sina,0.0033,0.5,1.0,10,0.872,0.0,0.9694,0.9329,0.9349,0.1079,pdr
ibn-sina,0.0033,0.5,1.0,20,0.8648,0.0,0.973,0.9369,0.9422,0.0954,irbl
ibn-sina,0.0033,0.5,1.0,20,0.8648,0.0,0.973,0.9379,0.9423,0.0957,irbl2
ibn-sina,0.0033,0.5,1.0,20,0.8648,0.0,0.8438,0.6746,0.6702,0.4467,trusted_only
ibn-sina,0.0033,0.5,1.0,20,0.8648,0.0,0.9735,0.9385,0.9433,0.0923,no_correction
ibn-sina,0.0033,0.5,1.0,20,0.8648,0.0,0.9739,0.939,0.9443,0.0914,untrusted_only
ibn-sina,0.0033,0.5,1.0,20,0.8648,0.0,0.9754,0.9415,0.9474,0.0912,kpdr
ibn-sina,0.0033,0.5,1.0,20,0.8648,0.0,0.9704,0.9341,0.9369,0.1158,pdr
ibn-sina,0.0033,0.5,1.0,50,0.8606,0.0,0.9685,0.9265,0.9326,0.1042,irbl
ibn-sina,0.0033,0.5,1.0,50,0.8606,0.0,0.9717,0.9338,0.9395,0.1013,irbl2
ibn-sina,0.0033,0.5,1.0,50,0.8606,0.0,0.8438,0.6746,0.6702,0.4467,trusted_only
ibn-sina,0.0033,0.5,1.0,50,0.8606,0.0,0.9715,0.9328,0.9391,0.1007,no_correction
ibn-sina,0.0033,0.5,1.0,50,0.8606,0.0,0.9707,0.9303,0.9373,0.1033,untrusted_only
ibn-sina,0.0033,0.5,1.0,50,0.8606,0.0,0.9731,0.9365,0.9425,0.1019,kpdr
ibn-sina,0.0033,0.5,1.0,50,0.8606,0.0,0.9625,0.9159,0.92,0.1341,pdr
ibn-sina,0.0033,0.5,1.0,100,0.8593,0.0,0.9686,0.9264,0.9329,0.1053,irbl
ibn-sina,0.0033,0.5,1.0,100,0.8593,0.0,0.9694,0.9282,0.9346,0.1055,irbl2
ibn-sina,0.0033,0.5,1.0,100,0.8593,0.0,0.8438,0.6746,0.6702,0.4467,trusted_only
ibn-sina,0.0033,0.5,1.0,100,0.8593,0.0,0.9706,0.9304,0.937,0.1031,no_correction
ibn-sina,0.0033,0.5,1.0,100,0.8593,0.0,0.9715,0.9331,0.9391,0.103,untrusted_only
ibn-sina,0.0033,0.5,1.0,100,0.8593,0.0,0.9728,0.9358,0.9418,0.0976,kpdr
ibn-sina,0.0033,0.5,1.0,100,0.8593,0.0,0.9648,0.9207,0.9248,0.133,pdr
zebra,0.0333,0.25,1.0,1,1.0,0.0,0.963,0.2415,0.3629,0.1509,irbl
zebra,0.0333,0.25,1.0,1,1.0,0.0,0.9632,0.2417,0.3645,0.1492,irbl2
zebra,0.0333,0.25,1.0,1,1.0,0.0,0.9527,0.0616,0.1021,0.3219,trusted_only
zebra,0.0333,0.25,1.0,1,1.0,0.0,0.9677,0.3175,0.4618,0.1011,no_correction
zebra,0.0333,0.25,1.0,1,1.0,0.0,0.9677,0.3277,0.4701,0.1017,untrusted_only
zebra,0.0333,0.25,1.0,1,1.0,0.0,0.9673,0.3103,0.4528,0.1015,kpdr
zebra,0.0333,0.25,1.0,1,1.0,0.0,0.9553,0.1037,0.1684,0.3671,pdr
zebra,0.0333,0.25,1.0,2,0.9034,0.0,0.9613,0.2511,0.3619,0.1617,irbl
