ds,p,perc_total_perf,q,cluster_imbalance_ratio,data_ratio,noise_ratio,acc,bacc,kappa,log_loss,clf
eeg,0.0103,0.25,0.9,20,0.8341,0.11,0.7628,0.5332,0.5265,0.5587,pdr
eeg,0.0103,0.25,1.0,20,0.8341,0.0,0.8405,0.6705,0.6752,0.3703,irbl2
eeg,0.0103,0.25,1.0,20,0.8341,0.0,0.8122,0.6088,0.616,0.4625,kpdr
eeg,0.0103,0.25,1.0,20,0.8341,0.0,0.8538,0.7,0.7032,0.3589,pdr
eeg,0.0103,0.25,0.5,50,0.8289,0.49,0.5049,0.0035,0.0035,0.8747,irbl2
eeg,0.0103,0.25,0.5,50,0.8289,0.49,0.6404,0.242,0.2498,0.7824,kpdr
eeg,0.0103,0.25,0.5,50,0.8289,0.49,0.474,-0.0545,-0.054,0.9792,pdr
eeg,0.0103,0.25,0.6,50,0.8289,0.38,0.5679,0.1161,0.1173,0.8224,irbl2
eeg,0.0103,0.25,0.6,50,0.8289,0.38,0.6551,0.2726,0.2811,0.7467,kpdr
eeg,0.0103,0.25,0.6,50,0.8289,0.38,0.5523,0.0865,0.0873,0.9123,pdr
eeg,0.0103,0.25,0.7,50,0.8289,0.27,0.638,0.2482,0.2533,0.6962,irbl2
eeg,0.0103,0.25,0.7,50,0.8289,0.27,0.672,0.3073,0.3167,0.7337,kpdr
eeg,0.0103,0.25,0.7,50,0.8289,0.27,0.6284,0.2256,0.231,0.7972,pdr
eeg,0.0103,0.25,0.8,50,0.8289,0.18,0.719,0.4316,0.4318,0.5815,irbl2
eeg,0.0103,0.25,0.8,50,0.8289,0.18,0.7328,0.4407,0.4493,0.646,kpdr
eeg,0.0103,0.25,0.8,50,0.8289,0.18,0.713,0.4183,0.419,0.6435,pdr
eeg,0.0103,0.25,0.9,50,0.8289,0.11,0.7519,0.5066,0.5025,0.5242,irbl2
eeg,0.0103,0.25,0.9,50,0.8289,0.11,0.7526,0.488,0.4939,0.59,kpdr
eeg,0.0103,0.25,0.9,50,0.8289,0.11,0.7581,0.5245,0.5176,0.5521,pdr
eeg,0.0103,0.25,1.0,50,0.8289,0.0,0.8329,0.6545,0.6596,0.3859,irbl2
eeg,0.0103,0.25,1.0,50,0.8289,0.0,0.7937,0.5676,0.5765,0.4981,kpdr
eeg,0.0103,0.25,1.0,50,0.8289,0.0,0.8549,0.7009,0.705,0.3685,pdr
eeg,0.0103,0.25,0.5,100,0.8271,0.49,0.5056,0.0042,0.0041,0.8758,irbl2
eeg,0.0103,0.25,0.5,100,0.8271,0.49,0.6391,0.2357,0.2442,0.7808,kpdr
eeg,0.0103,0.25,0.5,100,0.8271,0.49,0.4798,-0.0419,-0.0415,0.9963,pdr
eeg,0.0103,0.25,0.6,100,0.8271,0.38,0.5712,0.123,0.1243,0.7989,irbl2
eeg,0.0103,0.25,0.6,100,0.8271,0.38,0.6689,0.2936,0.3049,0.7494,kpdr
eeg,0.0103,0.25,0.6,100,0.8271,0.38,0.5672,0.1163,0.1173,0.8856,pdr
eeg,0.0103,0.25,0.7,100,0.8271,0.27,0.6268,0.2268,0.2312,0.7134,irbl2
eeg,0.0103,0.25,0.7,100,0.8271,0.27,0.684,0.3261,0.338,0.7255,kpdr
eeg,0.0103,0.25,0.7,100,0.8271,0.27,0.6277,0.2241,0.2295,0.7774,pdr
eeg,0.0103,0.25,0.8,100,0.8271,0.18,0.7081,0.4077,0.4086,0.6157,irbl2
eeg,0.0103,0.25,0.8,100,0.8271,0.18,0.7256,0.4203,0.4311,0.6615,kpdr
eeg,0.0103,0.25,0.8,100,0.8271,0.18,0.7043,0.4011,0.4016,0.6627,pdr
eeg,0.0103,0.25,0.9,100,0.8271,0.11,0.755,0.5096,0.5072,0.5459,irbl2
eeg,0.0103,0.25,0.9,100,0.8271,0.11,0.7488,0.4779,0.4849,0.5956,kpdr
eeg,0.0103,0.25,0.9,100,0.8271,0.11,0.7561,0.519,0.5129,0.5753,pdr
eeg,0.0103,0.25,1.0,100,0.8271,0.0,0.8376,0.6619,0.6684,0.4035,irbl2
eeg,0.0103,0.25,1.0,100,0.8271,0.0,0.7897,0.555,0.5663,0.5216,kpdr
eeg,0.0103,0.25,1.0,100,0.8271,0.0,0.8478,0.6847,0.69,0.3858,pdr
eeg,0.0318,0.5,0.5,1,1.0,0.47,0.6569,0.3003,0.3022,0.6189,irbl2
eeg,0.0318,0.5,0.5,1,1.0,0.47,0.731,0.4382,0.4462,0.548,kpdr
eeg,0.0318,0.5,0.5,1,1.0,0.47,0.51,0.0236,0.0232,0.9254,pdr
eeg,0.0318,0.5,0.6,1,1.0,0.38,0.7132,0.405,0.4113,0.5588,irbl2
eeg,0.0318,0.5,0.6,1,1.0,0.38,0.7621,0.4932,0.5064,0.5013,kpdr
eeg,0.0318,0.5,0.6,1,1.0,0.38,0.591,0.1688,0.1696,0.8274,pdr
eeg,0.0318,0.5,0.7,1,1.0,0.26,0.7692,0.5191,0.5267,0.4851,irbl2
eeg,0.0318,0.5,0.7,1,1.0,0.26,0.7761,0.5231,0.5362,0.468,kpdr
eeg,0.0318,0.5,0.7,1,1.0,0.26,0.6713,0.3159,0.3223,0.6885,pdr
eeg,0.0318,0.5,0.8,1,1.0,0.15,0.8184,0.6205,0.6284,0.4018,irbl2
eeg,0.0318,0.5,0.8,1,1.0,0.15,0.8235,0.6297,0.6384,0.3957,kpdr
eeg,0.0318,0.5,0.8,1,1.0,0.15,0.7704,0.5362,0.536,0.5073,pdr
eeg,0.0318,0.5,0.9,1,1.0,0.09,0.8551,0.701,0.7054,0.342,irbl2
eeg,0.0318,0.5,0.9,1,1.0,0.09,0.8378,0.6685,0.6709,0.3654,kpdr
eeg,0.0318,0.5,0.9,1,1.0,0.09,0.8184,0.6482,0.6385,0.438,pdr
eeg,0.0318,0.5,1.0,1,1.0,0.0,0.8836,0.7565,0.7628,0.2871,irbl2
eeg,0.0318,0.5,1.0,1,1.0,0.0,0.8781,0.7444,0.7513,0.2901,kpdr
eeg,0.0318,0.5,1.0,1,1.0,0.0,0.8996,0.7941,0.7965,0.2642,pdr
eeg,0.0318,0.5,0.5,2,0.9128,0.48,0.662,0.3098,0.312,0.6195,irbl2
eeg,0.0318,0.5,0.5,2,0.9128,0.48,0.7472,0.4642,0.4761,0.5248,kpdr
eeg,0.0318,0.5,0.5,2,0.9128,0.48,0.5149,0.0325,0.0321,0.9201,pdr
eeg,0.0318,0.5,0.6,2,0.9128,0.38,0.7243,0.4264,0.4335,0.5406,irbl2
eeg,0.0318,0.5,0.6,2,0.9128,0.38,0.7648,0.4991,0.5121,0.5063,kpdr
eeg,0.0318,0.5,0.6,2,0.9128,0.38,0.5915,0.1695,0.1703,0.8098,pdr
eeg,0.0318,0.5,0.7,2,0.9128,0.27,0.7726,0.5212,0.5314,0.4694,irbl2
eeg,0.0318,0.5,0.7,2,0.9128,0.27,0.775,0.519,0.533,0.4645,kpdr
eeg,0.0318,0.5,0.7,2,0.9128,0.27,0.6729,0.3173,0.3243,0.6778,pdr
eeg,0.0318,0.5,0.8,2,0.9128,0.16,0.8258,0.6361,0.6437,0.3924,irbl2
eeg,0.0318,0.5,0.8,2,0.9128,0.16,0.8162,0.6169,0.6241,0.4038,kpdr
eeg,0.0318,0.5,0.8,2,0.9128,0.16,0.7713,0.5374,0.5375,0.5045,pdr
eeg,0.0318,0.5,0.9,2,0.9128,0.1,0.8538,0.6977,0.7025,0.338,irbl2
eeg,0.0318,0.5,0.9,2,0.9128,0.1,0.838,0.6688,0.6713,0.3635,kpdr
eeg,0.0318,0.5,0.9,2,0.9128,0.1,0.818,0.6464,0.6373,0.4328,pdr
eeg,0.0318,0.5,1.0,2,0.9128,0.0,0.8798,0.7478,0.7549,0.2907,irbl2
eeg,0.0318,0.5,1.0,2,0.9128,0.0,0.8789,0.7447,0.7527,0.2972,kpdr
eeg,0.0318,0.5,1.0,2,0.9128,0.0,0.907,0.808,0.8113,0.2629,pdr
eeg,0.0318,0.5,0.5,5,0.8604,0.49,0.6707,0.3276,0.3299,0.6136,irbl2
eeg,0.0318,0.5,0.5,5,0.8604,0.49,0.7477,0.4668,0.4779,0.5223,kpdr
eeg,0.0318,0.5,0.5,5,0.8604,0.49,0.4962,-0.007,-0.0069,0.9304,pdr
eeg,0.0318,0.5,0.6,5,0.8604,0.38,0.7154,0.4047,0.413,0.5585,irbl2
eeg,0.0318,0.5,0.6,5,0.8604,0.38,0.7619,0.496,0.5076,0.5004,kpdr
eeg,0.0318,0.5,0.6,5,0.8604,0.38,0.5745,0.1338,0.1347,0.8185,pdr
eeg,0.0318,0.5,0.7,5,0.8604,0.27,0.7641,0.5037,0.5138,0.4842,irbl2
eeg,0.0318,0.5,0.7,5,0.8604,0.27,0.7786,0.5287,0.5416,0.4698,kpdr
eeg,0.0318,0.5,0.7,5,0.8604,0.27,0.6538,0.2774,0.2839,0.7065,pdr
eeg,0.0318,0.5,0.8,5,0.8604,0.17,0.8178,0.6195,0.6271,0.4085,irbl2
eeg,0.0318,0.5,0.8,5,0.8604,0.17,0.8153,0.6134,0.6217,0.4075,kpdr
eeg,0.0318,0.5,0.8,5,0.8604,0.17,0.7626,0.5199,0.52,0.5198,pdr
eeg,0.0318,0.5,0.9,5,0.8604,0.1,0.85,0.6904,0.6949,0.3476,irbl2
eeg,0.0318,0.5,0.9,5,0.8604,0.1,0.8407,0.67,0.6754,0.364,kpdr
eeg,0.0318,0.5,0.9,5,0.8604,0.1,0.8033,0.6149,0.6073,0.4442,pdr
eeg,0.0318,0.5,1.0,5,0.8604,0.0,0.8796,0.7483,0.7546,0.2927,irbl2
eeg,0.0318,0.5,1.0,5,0.8604,0.0,0.8752,0.7374,0.7451,0.3033,kpdr
eeg,0.0318,0.5,1.0,5,0.8604,0.0,0.8901,0.7725,0.7766,0.277,pdr
eeg,0.0318,0.5,0.5,10,0.843,0.49,0.6618,0.3092,0.3114,0.632,irbl2
eeg,0.0318,0.5,0.5,10,0.843,0.49,0.7417,0.4532,0.4647,0.542,kpdr
eeg,0.0318,0.5,0.5,10,0.843,0.49,0.4938,-0.0114,-0.0112,0.919,pdr
eeg,0.0318,0.5,0.6,10,0.843,0.38,0.7101,0.3973,0.404,0.5728,irbl2
eeg,0.0318,0.5,0.6,10,0.843,0.38,0.7423,0.4496,0.4633,0.5306,kpdr
eeg,0.0318,0.5,0.6,10,0.843,0.38,0.5721,0.1286,0.1295,0.8208,pdr
eeg,0.0318,0.5,0.7,10,0.843,0.27,0.7619,0.5,0.5096,0.497,irbl2
eeg,0.0318,0.5,0.7,10,0.843,0.27,0.775,0.5186,0.5329,0.4724,kpdr
eeg,0.0318,0.5,0.7,10,0.843,0.27,0.654,0.2781,0.2845,0.6977,pdr
eeg,0.0318,0.5,0.8,10,0.843,0.18,0.8135,0.6109,0.6184,0.4175,irbl2
eeg,0.0318,0.5,0.8,10,0.843,0.18,0.808,0.596,0.6056,0.4209,kpdr
eeg,0.0318,0.5,0.8,10,0.843,0.18,0.7552,0.5055,0.5054,0.5318,pdr
eeg,0.0318,0.5,0.9,10,0.843,0.11,0.8498,0.6908,0.6947,0.3519,irbl2
eeg,0.0318,0.5,0.9,10,0.843,0.11,0.8344,0.6573,0.6627,0.3758,kpdr
eeg,0.0318,0.5,0.9,10,0.843,0.11,0.7953,0.6002,0.5919,0.4495,pdr
eeg,0.0318,0.5,1.0,10,0.843,0.0,0.8736,0.7369,0.7426,0.3072,irbl2
eeg,0.0318,0.5,1.0,10,0.843,0.0,0.8616,0.7081,0.7168,0.3173,kpdr
eeg,0.0318,0.5,1.0,10,0.843,0.0,0.8923,0.7787,0.7815,0.2866,pdr
eeg,0.0318,0.5,0.5,20,0.8344,0.49,0.6587,0.304,0.3059,0.6278,irbl2
eeg,0.0318,0.5,0.5,20,0.8344,0.49,0.7452,0.4579,0.4707,0.5414,kpdr
eeg,0.0318,0.5,0.5,20,0.8344,0.49,0.4833,-0.0341,-0.0338,0.9285,pdr
eeg,0.0318,0.5,0.6,20,0.8344,0.38,0.7116,0.3987,0.4062,0.5675,irbl2
eeg,0.0318,0.5,0.6,20,0.8344,0.38,0.7555,0.4778,0.4915,0.5203,kpdr
